S11(dB),Phase (rad),label
0.308478803,0.911705686,1
0.311221945,0.921070234,1
0.313965087,0.930434783,1
0.316708229,0.939799331,1
0.319451372,0.94916388,1
0.322194514,0.958528428,1
0.324937656,0.967892977,1
0.327680798,0.977257525,1
0.33042394,0.986622074,1
0.333167082,0.995986622,1
0.335910224,1.005351171,1
0.338653367,1.014715719,1
0.341396509,1.024080268,1
0.344139651,1.033444816,1
0.346882793,1.042809365,1
0.349625935,1.052173913,1
0.352369077,1.061538462,1
0.355112219,1.07090301,1
0.357855362,1.080267559,1
0.360598504,1.089632107,1
0.363341646,1.098996656,1
0.366084788,1.108361204,1
0.36882793,1.117725753,1
0.371571072,1.127090301,1
0.374314214,1.136454849,1
0.377057357,1.145819398,1
0.379800499,1.155183946,1
0.382543641,1.164548495,1
0.385286783,1.173913043,1
0.388029925,1.183277592,1
0.390773067,1.19264214,1
0.393516209,1.202006689,1
0.396259352,1.211371237,1
0.399002494,1.220735786,1
0.401745636,1.230100334,1
0.404488778,1.239464883,1
0.40723192,1.248829431,1
0.409975062,1.25819398,1
0.412718204,1.267558528,1
0.415461347,1.276923077,1
0.418204489,1.286287625,1
0.420947631,1.295652174,1
0.423690773,1.305016722,1
0.426433915,1.314381271,1
0.429177057,1.323745819,1
0.4319202,1.333110368,1
0.434663342,1.342474916,1
0.437406484,1.351839465,1
0.440149626,1.361204013,1
0.442892768,1.370568562,1
0.44563591,1.37993311,1
0.448379052,1.389297659,1
0.451122195,1.398662207,1
0.453865337,1.408026756,1
0.456608479,1.417391304,1
0.459351621,1.426755853,1
0.462094763,1.436120401,1
0.464837905,1.44548495,1
0.467581047,1.454849498,1
0.47032419,1.464214047,1
0.473067332,1.473578595,1
0.475810474,1.482943144,1
0.478553616,1.492307692,1
0.481296758,1.501672241,1
0.4840399,1.511036789,1
0.486783042,1.520401338,1
0.489526185,1.529765886,1
0.492269327,1.539130435,1
0.495012469,1.548494983,1
0.497755611,1.557859532,1
0.500498753,1.56722408,1
0.503241895,1.576588629,1
0.505985037,1.585953177,1
0.50872818,1.595317726,1
0.511471322,1.604682274,1
0.514214464,1.614046823,1
0.516957606,1.623411371,1
0.519700748,1.63277592,1
0.52244389,1.642140468,1
0.525187032,1.651505017,1
0.527930175,1.660869565,1
0.530673317,1.670234114,1
0.533416459,1.679598662,1
0.536159601,1.688963211,1
0.538902743,1.698327759,1
0.541645885,1.707692308,1
0.544389027,1.717056856,1
0.54713217,1.726421405,1
0.549875312,1.735785953,1
0.552618454,1.745150502,1
0.555361596,1.75451505,1
0.558104738,1.763879599,1
0.56084788,1.773244147,1
0.563591022,1.782608696,1
0.566334165,1.791973244,1
0.569077307,1.801337793,1
0.571820449,1.810702341,1
0.574563591,1.82006689,1
0.577306733,1.829431438,1
0.580049875,1.838795987,1
0.582793017,1.848160535,1
0.58553616,1.857525084,1
0.588279302,1.866889632,1
0.591022444,1.876254181,1
0.593765586,1.885618729,1
0.596508728,1.894983278,1
0.59925187,1.904347826,1
0.601995012,1.913712375,1
0.604738155,1.923076923,1
0.607481297,1.932441472,1
0.610224439,1.94180602,1
0.612967581,1.951170569,1
0.615710723,1.960535117,1
0.618453865,1.969899666,1
0.621197007,1.979264214,1
0.62394015,1.988628763,1
0.626683292,1.997993311,1
0.629426434,2.00735786,1
0.632169576,2.016722408,1
0.634912718,2.026086957,1
0.63765586,2.035451505,1
0.640399002,2.044816054,1
0.643142145,2.054180602,1
0.645885287,2.063545151,1
0.648628429,2.072909699,1
0.651371571,2.082274247,1
0.654114713,2.091638796,1
0.656857855,2.101003344,1
0.659600998,2.110367893,1
0.66234414,2.119732441,1
0.665087282,2.12909699,1
0.667830424,2.138461538,1
0.670573566,2.147826087,1
0.673316708,2.157190635,1
0.67605985,2.166555184,1
0.678802993,2.175919732,1
0.681546135,2.185284281,1
0.684289277,2.194648829,1
0.687032419,2.204013378,1
0.689775561,2.213377926,1
0.692518703,2.222742475,1
0.695261845,2.232107023,1
0.698004988,2.241471572,1
0.70074813,2.25083612,1
0.703491272,2.260200669,1
0.706234414,2.269565217,1
0.708977556,2.278929766,1
0.711720698,2.288294314,1
0.71446384,2.297658863,1
0.717206983,2.307023411,1
0.719950125,2.31638796,1
0.722693267,2.325752508,1
0.725436409,2.335117057,1
0.728179551,2.344481605,1
0.730922693,2.353846154,1
0.733665835,2.363210702,1
0.736408978,2.372575251,1
0.73915212,2.381939799,1
0.741895262,2.391304348,1
0.744638404,2.400668896,1
0.747381546,2.410033445,1
0.750124688,2.419397993,1
0.75286783,2.428762542,1
0.755610973,2.43812709,1
0.758354115,2.447491639,1
0.761097257,2.456856187,1
0.763840399,2.466220736,1
0.766583541,2.475585284,1
0.769326683,2.484949833,1
0.772069825,2.494314381,1
0.774812968,2.50367893,1
0.77755611,2.513043478,1
0.780299252,2.522408027,1
0.783042394,2.531772575,1
0.785785536,2.541137124,1
0.788528678,2.550501672,1
0.79127182,2.559866221,1
0.794014963,2.569230769,1
0.796758105,2.578595318,1
0.799501247,2.587959866,1
0.802244389,2.597324415,1
0.804987531,2.606688963,1
0.807730673,2.616053512,1
0.810473815,2.62541806,1
0.813216958,2.634782609,1
0.8159601,2.644147157,1
0.818703242,2.653511706,1
0.821446384,2.662876254,1
0.824189526,2.672240803,1
0.826932668,2.681605351,1
0.82967581,2.6909699,1
0.832418953,2.700334448,1
0.835162095,2.709698997,1
0.837905237,2.719063545,1
0.840648379,2.728428094,1
0.843391521,2.737792642,1
0.846134663,2.747157191,1
0.848877805,2.756521739,1
0.851620948,2.765886288,1
0.85436409,2.775250836,1
0.857107232,2.784615385,1
0.859850374,2.793979933,1
0.862593516,2.803344482,1
0.865336658,2.81270903,1
0.8680798,2.822073579,1
0.870822943,2.831438127,1
0.873566085,2.840802676,1
0.876309227,2.850167224,1
0.879052369,2.859531773,1
0.881795511,2.868896321,1
0.884538653,2.87826087,1
0.887281796,2.887625418,1
0.890024938,2.896989967,1
0.89276808,2.906354515,1
0.895511222,2.915719064,1
0.898254364,2.925083612,1
0.900997506,2.934448161,1
0.903740648,2.943812709,1
0.906483791,2.953177258,1
0.909226933,2.962541806,1
0.911970075,2.971906355,1
0.914713217,2.981270903,1
0.917456359,2.990635452,1
0.920199501,3,1
0.922942643,3,1
0.925685786,2.975247525,1
0.928428928,2.95049505,1
0.93117207,2.925742574,1
0.933915212,2.900990099,1
0.936658354,2.876237624,1
0.939401496,2.851485149,1
0.942144638,2.826732673,1
0.944887781,2.801980198,1
0.947630923,2.777227723,1
0.950374065,2.752475248,1
0.953117207,2.727722772,1
0.955860349,2.702970297,1
0.958603491,2.678217822,1
0.961346633,2.653465347,1
0.964089776,2.628712871,1
0.966832918,2.603960396,1
0.96957606,2.579207921,1
0.972319202,2.554455446,1
0.975062344,2.52970297,1
0.977805486,2.504950495,1
0.980548628,2.48019802,1
0.983291771,2.455445545,1
0.986034913,2.430693069,1
0.988778055,2.405940594,1
0.991521197,2.381188119,1
0.994264339,2.356435644,1
0.997007481,2.331683168,1
0.999750623,2.306930693,1
1.002493766,2.282178218,1
1.005236908,2.257425743,1
1.00798005,2.232673267,1
1.010723192,2.207920792,1
1.013466334,2.183168317,1
1.016209476,2.158415842,1
1.018952618,2.133663366,1
1.021695761,2.108910891,1
1.024438903,2.084158416,1
1.027182045,2.059405941,1
1.029925187,2.034653465,1
1.032668329,2.00990099,1
1.035411471,1.985148515,1
1.038154613,1.96039604,1
1.040897756,1.935643564,1
1.043640898,1.910891089,1
1.04638404,1.886138614,1
1.049127182,1.861386139,1
1.051870324,1.836633663,1
1.054613466,1.811881188,1
1.057356608,1.787128713,1
1.060099751,1.762376238,1
1.062842893,1.737623762,1
1.065586035,1.712871287,1
1.068329177,1.688118812,1
1.071072319,1.663366337,1
1.073815461,1.638613861,1
1.076558603,1.613861386,1
1.079301746,1.589108911,1
1.082044888,1.564356436,1
1.08478803,1.53960396,1
1.087531172,1.514851485,1
1.090274314,1.49009901,1
1.093017456,1.465346535,1
1.095760599,1.440594059,1
1.098503741,1.415841584,1
1.101246883,1.391089109,1
1.103990025,1.366336634,1
1.106733167,1.341584158,1
1.109476309,1.316831683,1
1.112219451,1.292079208,1
1.114962594,1.267326733,1
1.117705736,1.242574257,1
1.120448878,1.217821782,1
1.12319202,1.193069307,1
1.125935162,1.168316832,1
1.128678304,1.143564356,1
1.131421446,1.118811881,1
1.134164589,1.094059406,1
1.136907731,1.069306931,1
1.139650873,1.044554455,1
1.142394015,1.01980198,1
1.145137157,0.995049505,1
1.147880299,0.97029703,1
1.150623441,0.945544554,1
1.153366584,0.920792079,1
1.156109726,0.896039604,1
1.158852868,0.871287129,1
1.16159601,0.846534653,1
1.164339152,0.821782178,1
1.167082294,0.797029703,1
1.169825436,0.772277228,1
1.172568579,0.747524752,1
1.175311721,0.722772277,1
1.178054863,0.698019802,1
1.180798005,0.673267327,1
1.183541147,0.648514851,1
1.186284289,0.623762376,1
1.189027431,0.599009901,1
1.191770574,0.574257426,1
1.194513716,0.54950495,1
1.197256858,0.524752475,1
1.2,0.5,1
